Compound,0.02 V,0.1 V,0.5 V,1 V,5 V
10⁹ (CFU/ml),-1.59058e-05,-1.04651e-05,-2.14711e-06,2.79362e-06,0.001
10⁹ (CFU/ml),-1.58622e-05,-1.03957e-05,-1.84933e-06,3.79177e-06,0.00103
10⁹ (CFU/ml),-1.58265e-05,-1.03089e-05,-1.5508e-06,4.88093e-06,0.00104
10⁹ (CFU/ml),-1.57884e-05,-1.02069e-05,-1.21235e-06,5.43464e-06,0.00106
10⁹ (CFU/ml),-1.57567e-05,-1.00914e-05,-8.79632e-07,6.27019e-06,0.00103
10⁹ (CFU/ml),-1.57366e-05,-9.9683e-06,-5.10097e-07,6.85214e-06,0.000971315
10⁹ (CFU/ml),-1.57168e-05,-9.83674e-06,-1.40504e-07,7.25674e-06,0.000922301
10⁹ (CFU/ml),-1.5696e-05,-9.70722e-06,2.58446e-07,7.6849e-06,0.000905281
10⁹ (CFU/ml),-1.56765e-05,-9.56317e-06,6.7742e-07,7.8223e-06,0.000831744
10⁹ (CFU/ml),-1.56761e-05,-9.39954e-06,1.13213e-06,8.23373e-06,0.000752251
10⁹ (CFU/ml),-1.56678e-05,-9.21828e-06,1.6049e-06,8.65347e-06,0.000728828
10⁹ (CFU/ml),-1.56606e-05,-9.02154e-06,2.14377e-06,9.15289e-06,0.000774003
10⁹ (CFU/ml),-1.56474e-05,-8.77786e-06,2.67081e-06,9.70931e-06,0.000820575
10⁹ (CFU/ml),-1.56358e-05,-8.5708e-06,3.01228e-06,1.03582e-05,0.000870559
10⁹ (CFU/ml),-1.56192e-05,-8.41557e-06,3.47536e-06,1.10508e-05,0.000928826
10⁹ (CFU/ml),-1.56011e-05,-8.29277e-06,3.88864e-06,1.18646e-05,0.000987586
10⁹ (CFU/ml),-1.55781e-05,-8.20441e-06,4.25283e-06,1.27207e-05,0.00103
10⁹ (CFU/ml),-1.55666e-05,-8.15565e-06,4.60302e-06,1.36957e-05,0.00108
10⁹ (CFU/ml),-1.55436e-05,-8.09109e-06,4.75325e-06,1.46942e-05,0.00115
10⁹ (CFU/ml),-1.55212e-05,-8.08663e-06,5.08652e-06,1.57877e-05,0.00123
10⁹ (CFU/ml),-1.54971e-05,-8.03401e-06,5.33279e-06,1.69327e-05,0.00131
10⁹ (CFU/ml),-1.54719e-05,-7.95978e-06,5.64138e-06,1.81591e-05,0.00138
10⁹ (CFU/ml),-1.5447e-05,-7.87313e-06,5.89814e-06,1.94979e-05,0.00146
10⁹ (CFU/ml),-1.54218e-05,-7.79425e-06,6.20671e-06,2.09568e-05,0.00153
10⁹ (CFU/ml),-1.54019e-05,-7.70626e-06,6.45656e-06,2.2501e-05,0.0016
10⁹ (CFU/ml),-1.53757e-05,-7.63054e-06,6.73854e-06,2.41572e-05,0.00167
10⁹ (CFU/ml),-1.53498e-05,-7.5342e-06,6.98126e-06,2.59674e-05,0.00174
10⁹ (CFU/ml),-1.53222e-05,-7.41735e-06,7.24023e-06,2.79539e-05,0.00181
10⁹ (CFU/ml),-1.53081e-05,-7.26976e-06,7.49707e-06,3.01302e-05,0.00188
10⁹ (CFU/ml),-1.52879e-05,-7.10581e-06,7.75705e-06,3.24502e-05,0.00196
10⁹ (CFU/ml),-1.52724e-05,-6.94053e-06,7.94583e-06,3.49669e-05,0.00203
10⁹ (CFU/ml),-1.52554e-05,-6.76988e-06,8.20851e-06,3.76802e-05,0.00211
10⁹ (CFU/ml),-1.52324e-05,-6.58468e-06,8.42776e-06,4.0589e-05,0.00218
10⁹ (CFU/ml),-1.52157e-05,-6.43646e-06,8.66925e-06,4.36975e-05,0.00225
10⁹ (CFU/ml),-1.51982e-05,-6.28449e-06,8.89687e-06,4.69843e-05,0.00233
10⁹ (CFU/ml),-1.51831e-05,-6.17529e-06,9.14019e-06,5.03856e-05,0.00241
10⁹ (CFU/ml),-1.51685e-05,-6.07769e-06,9.38983e-06,5.3995e-05,0.00249
10⁹ (CFU/ml),-1.51513e-05,-5.97028e-06,9.66259e-06,5.77501e-05,0.00258
10⁹ (CFU/ml),-1.51285e-05,-5.8706e-06,9.93991e-06,6.15422e-05,0.00268
10⁹ (CFU/ml),-1.51074e-05,-5.77156e-06,1.02513e-05,6.51672e-05,0.00277
10⁹ (CFU/ml),-1.50873e-05,-5.67552e-06,1.05625e-05,6.8795e-05,0.00288
10⁹ (CFU/ml),-1.50629e-05,-5.56352e-06,1.09113e-05,7.24992e-05,0.00298
10⁹ (CFU/ml),-1.50392e-05,-5.46222e-06,1.12553e-05,7.63142e-05,0.00309
10⁹ (CFU/ml),-1.50134e-05,-5.37225e-06,1.16495e-05,8.01791e-05,0.0032
10⁹ (CFU/ml),-1.49913e-05,-5.25762e-06,1.20322e-05,8.41383e-05,0.00331
10⁹ (CFU/ml),-1.49643e-05,-5.1811e-06,1.24601e-05,8.81315e-05,0.00343
10⁹ (CFU/ml),-1.49437e-05,-5.07975e-06,1.28829e-05,9.22071e-05,0.00355
10⁹ (CFU/ml),-1.49265e-05,-4.96972e-06,1.33358e-05,9.64015e-05,0.00367
10⁹ (CFU/ml),-1.49119e-05,-4.86048e-06,1.37935e-05,0.00010069,0.00378
10⁹ (CFU/ml),-1.48951e-05,-4.75972e-06,1.42527e-05,0.000105045,0.0039
10⁹ (CFU/ml),-1.48805e-05,-4.65984e-06,1.47013e-05,0.000109541,0.00401
10⁹ (CFU/ml),-1.48638e-05,-4.54543e-06,1.52377e-05,0.000114055,0.00413
10⁹ (CFU/ml),-1.48444e-05,-4.425e-06,1.57339e-05,0.000118744,0.00425
10⁹ (CFU/ml),-1.48263e-05,-4.29538e-06,1.62467e-05,0.000123548,0.00438
10⁹ (CFU/ml),-1.48077e-05,-4.17563e-06,1.67732e-05,0.000128601,0.0045
10⁹ (CFU/ml),-1.47933e-05,-4.07993e-06,1.73155e-05,0.00013381,0.00463
10⁹ (CFU/ml),-1.47722e-05,-3.9601e-06,1.78732e-05,0.000139164,0.00477
10⁹ (CFU/ml),-1.47465e-05,-3.84765e-06,1.84527e-05,0.000144058,0.00492
10⁹ (CFU/ml),-1.47179e-05,-3.75125e-06,1.90466e-05,0.000147929,0.00506
10⁹ (CFU/ml),-1.46835e-05,-3.62293e-06,1.9664e-05,0.000150453,0.0052
10⁹ (CFU/ml),-1.46453e-05,-3.5262e-06,2.03033e-05,0.000151903,0.00533
10⁹ (CFU/ml),-1.46073e-05,-3.42183e-06,2.09704e-05,0.000152233,0.00546
10⁹ (CFU/ml),-1.45731e-05,-3.34658e-06,2.16671e-05,0.000151627,0.00561
10⁹ (CFU/ml),-1.45402e-05,-3.27162e-06,2.23978e-05,0.000150261,0.00574
10⁹ (CFU/ml),-1.45176e-05,-3.19833e-06,2.31619e-05,0.000148342,0.00589
10⁹ (CFU/ml),-1.4493e-05,-3.14871e-06,2.39654e-05,0.000146009,0.00603
10⁹ (CFU/ml),-1.44769e-05,-3.0716e-06,2.48106e-05,0.000143461,0.00618
10⁹ (CFU/ml),-1.44608e-05,-3.00104e-06,2.56975e-05,0.000140934,0.00634
10⁹ (CFU/ml),-1.44502e-05,-2.92622e-06,2.66274e-05,0.000138399,0.00651
10⁹ (CFU/ml),-1.4433e-05,-2.84529e-06,2.76047e-05,0.000136076,0.00666
10⁹ (CFU/ml),-1.44191e-05,-2.76916e-06,2.86348e-05,0.000134186,0.00683
10⁹ (CFU/ml),-1.44063e-05,-2.68408e-06,2.97146e-05,0.000132864,0.00701
10⁹ (CFU/ml),-1.43918e-05,-2.60364e-06,3.08399e-05,0.000132389,0.00717
10⁹ (CFU/ml),-1.43772e-05,-2.51452e-06,3.20143e-05,0.000132771,0.00731
10⁹ (CFU/ml),-1.43582e-05,-2.4262e-06,3.32249e-05,0.000134856,0.00746
10⁹ (CFU/ml),-1.43352e-05,-2.29099e-06,3.46812e-05,0.000137949,0.0076
10⁹ (CFU/ml),-1.43014e-05,-2.16326e-06,3.62086e-05,0.000141452,0.00774
10⁹ (CFU/ml),-1.42677e-05,-2.05181e-06,3.77295e-05,0.00014463,0.00789
10⁹ (CFU/ml),-1.42312e-05,-1.95523e-06,3.91561e-05,0.000147069,0.00804
10⁹ (CFU/ml),-1.41966e-05,-1.87144e-06,4.04311e-05,0.000148803,0.0082
10⁹ (CFU/ml),-1.41685e-05,-1.85147e-06,4.14944e-05,0.000149928,0.00836
10⁹ (CFU/ml),-1.41522e-05,-1.82597e-06,4.23114e-05,0.000150449,0.00852
10⁹ (CFU/ml),-1.41439e-05,-1.84294e-06,4.28448e-05,0.000150356,0.00875
10⁹ (CFU/ml),-1.41375e-05,-1.8673e-06,4.30808e-05,0.000149629,0.00887
10⁹ (CFU/ml),-1.41433e-05,-1.9183e-06,4.30123e-05,0.000148222,0.00882
